ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
65,2,122940,441032,3253812,13.554317000000001,3376752,13.060835,0,319468,3253812,9.818269,3253812,9.818269,230,6,3,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0
69,1,0,120211,3782454,3.178122,3782454,3.178122,0,120211,3782454,3.178122,3782454,3.178122,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,584648,3695636,4813784,76.77195,4813784,76.77195,0,3241611,4813784,67.34018,4813784,67.34018,373,31,5,0,0,1,24,0,0,1,7,0,0,0,1,6,0,0,0,23,5,0,0,0,18,0,0,0
81,1,0,11538,1943818,0.5935741,1943818,0.5935741,0,11538,1943818,0.5935741,1943818,0.5935741,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,91828,3932714,2.3349778999999997,3932714,2.3349778999999997,0,91828,3932714,2.3349778999999997,3932714,2.3349778999999997,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,12687408,14225067,16125630,88.21403000000001,16125630,88.21403000000001,0,14225067,16125630,88.21403000000001,16125630,88.21403000000001,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,2553,3014762,0.0846833,3014762,0.0846833,0,2553,3014762,0.0846833,3014762,0.0846833,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,0,180540,2122764,8.50495,2122764,8.50495,0,180540,2122764,8.50495,2122764,8.50495,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,6796809,22380544,30.369274,22380544,30.369274,0,1801084,22380544,8.047544,22380544,8.047544,4350,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,304,0,0,0,0,0,0,0
108,1,60104,274186,3430026,7.9937005,3430026,7.9937005,0,133244,3430026,3.8846352,3430026,3.8846352,327,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0
114,1,0,35592,3165022,1.124542,3165022,1.124542,0,35592,3165022,1.124542,3165022,1.124542,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,9357,4804222,0.1947662,4804222,0.1947662,0,9357,4804222,0.1947662,4804222,0.1947662,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,0,17939,3331674,0.538438,3331674,0.538438,0,17939,3331674,0.538438,3331674,0.538438,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2,0,153684,2988808,5.141983,2988808,5.141983,0,153684,2988808,5.141983,2988808,5.141983,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,13660,312634,1671984,18.698385000000002,1685644,18.546858,0,267437,1671984,15.995189000000002,1671984,15.995189000000002,342,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0
