ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
0,2,75130,246611,7674188,3.2135127,7674188,3.2135127,0,246611,7674188,3.2135127,7674188,3.2135127,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,1325020,0.0,1325020,0.0,0,0,1325020,0.0,1325020,0.0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,103302,1073676,9.621338,1073676,9.621338,0,103302,1073676,9.621338,1073676,9.621338,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,155724,1693823,2763418,61.29449,2763418,61.29449,0,1668689,2763418,60.384964,2763418,60.384964,2317,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
10,1,0,10564,2503878,0.42190555,2503878,0.42190555,0,10564,2503878,0.42190555,2503878,0.42190555,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,12635,3193708,0.39562163,3193708,0.39562163,0,12635,3193708,0.39562163,3193708,0.39562163,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,10136,2525734,0.40130907,2525734,0.40130907,0,10136,2525734,0.40130907,2525734,0.40130907,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,13127,2807130,0.46763065,2807130,0.46763065,0,13127,2807130,0.46763065,2807130,0.46763065,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,10136,5749494,0.17629378,5749494,0.17629378,0,10136,5749494,0.17629378,5749494,0.17629378,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,142064,6948454,6962502,99.79823,6962502,99.79823,0,6940722,6962502,99.68718,6962502,99.68718,5548,72,58,0,0,0,14,0,0,0,14,0,0,0,0,14,0,0,0,58,58,0,0,0,0,0,0,0
16,3,142064,6751071,6767164,99.762184,6767164,99.762184,0,6745331,6767164,99.67737,6767164,99.67737,5457,60,47,0,0,0,13,0,0,0,13,0,0,0,0,13,0,0,0,47,47,0,0,0,0,0,0,0
17,1,0,11609,5664802,0.20493214,5664802,0.20493214,0,11609,5664802,0.20493214,5664802,0.20493214,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,2297612,2740299,4291972,63.84708,4291972,63.84708,0,2740576,4291972,63.85354,4291972,63.85354,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,2297612,2740299,4291972,63.84708,4291972,63.84708,0,2740576,4291972,63.85354,4291972,63.85354,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4,2297612,2740299,4291972,63.84708,4291972,63.84708,0,2740576,4291972,63.85354,4291972,63.85354,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,2297612,2740299,4291972,63.84708,4291972,63.84708,0,2740576,4291972,63.85354,4291972,63.85354,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,2270292,2712842,4264652,63.61227,4264652,63.61227,0,2712842,4264652,63.61227,4264652,63.61227,1059,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,4,2270292,3010766,4556976,66.06939,4556976,66.06939,0,3010766,4556976,66.06939,4556976,66.06939,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,2242972,2983449,4529656,65.8648,4529656,65.8648,0,2983449,4529656,65.8648,4529656,65.8648,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,2215652,2956099,4502336,65.657005,4502336,65.657005,0,2956099,4502336,65.657005,4502336,65.657005,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,2297612,3040242,4584296,66.31862,4584296,66.31862,0,3040242,4584296,66.31862,4584296,66.31862,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,2268926,3009395,4556976,66.0393,4556976,66.0393,0,3009395,4556976,66.0393,4556976,66.0393,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,2270292,3010727,4556976,66.06853,4556976,66.06853,0,3010727,4556976,66.06853,4556976,66.06853,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,2270292,2712630,4264652,63.607304,4264652,63.607304,0,2712630,4264652,63.607304,4264652,63.607304,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,2324932,2767555,4319292,64.07427,4319292,64.07427,0,2767555,4319292,64.07427,4319292,64.07427,997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,4,2297612,2739688,4291972,63.832848,4291972,63.832848,0,2739688,4291972,63.832848,4291972,63.832848,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,2297612,2739688,4291972,63.832848,4291972,63.832848,0,2739688,4291972,63.832848,4291972,63.832848,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,2297612,3038075,4584296,66.27135,4584296,66.27135,0,3038075,4584296,66.27135,4584296,66.27135,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4,2297612,2739688,4291972,63.832848,4291972,63.832848,0,2739688,4291972,63.832848,4291972,63.832848,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,2297612,3038072,4584296,66.271286,4584296,66.271286,0,3038072,4584296,66.271286,4584296,66.271286,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,2297612,2739688,4291972,63.832848,4291972,63.832848,0,2739688,4291972,63.832848,4291972,63.832848,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
